"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Clu",0.472293067025248,-0.506769159141836,0.129419314679181,2.68837772486547e-09,1.06679716082161e-07
"Mdga2",1.47873557167997,-0.334065282699262,0.0689543194431267,2.81301850677706e-09,1.0677239810506e-07
"Fth1",2.64841765841094,-0.177017160910701,0.0720235461434435,4.44925385937725e-09,1.61841609134847e-07
"Nlgn1",3.84622897644917,-0.277766973491306,0.0586457740787641,5.21741401363876e-09,1.82192097356266e-07
"Frmd4a",1.06253475791368,-0.369435110510877,0.0805774567426311,8.84279488391246e-09,2.90281939412226e-07
"Pam",1.04290029489717,-0.232846859883252,0.0933382405443174,8.9777919405843e-09,2.90281939412226e-07
"Tmsb4x",1.74761735786935,0.0344709895294417,0.0518190312328892,1.64716954377133e-08,5.13563932754418e-07
"Aldoa",0.803702903410098,0.087167952634203,0.0922230229895254,2.08427388472487e-08,6.27438310815451e-07
"Pcsk1n",0.752759108569248,0.122814537621052,0.108258016746511,3.20899424087267e-08,9.33817324093946e-07
"Samd12",0.576371080590044,-0.464960161582662,0.112134034984904,3.4792978605553e-08,9.79815171698316e-07
"Oxr1",0.847322989355184,-0.471327467700734,0.0974634683205157,3.64585078471559e-08,9.94633667205221e-07
"Cntn1",0.485244344654771,-0.522986466488332,0.11663968861814,3.90912211907798e-08,1.03414048786517e-06
"Lrfn5",1.34167373715591,-0.279059054426749,0.0786319308998733,4.05844347398518e-08,1.04206504493796e-06
"mt-Co3",1.22069755796936,0.0901946099679924,0.0887258144525495,4.68378868195221e-08,1.16827071981265e-06
"mt-Nd1",0.608088017189015,0.331788422665173,0.126072689942104,5.3110410606652e-08,1.28792745721131e-06
"Rps29",0.901904764409642,0.173624266758817,0.11222992683216,7.79869178544491e-08,1.84006971045768e-06
"Dbi",0.605459737183798,-0.293028270047551,0.121367849369248,9.9124970508652e-08,2.27726576984351e-06
"Cox8a",0.865252867177424,0.0769894180165125,0.0834015875843642,1.14672258489379e-07,2.56689440156995e-06
"Sepw1",0.735480085094304,-0.0421160003007468,0.0652990616923322,1.21407031222937e-07,2.64878878258469e-06
"Unc5c",0.540964210524462,-0.635363019252411,0.132116224248491,1.24399014989659e-07,2.64878878258469e-06
"Glp2r",0.935624522231761,0.283804331399624,0.0834594129248051,1.38201732538104e-07,2.87262172632773e-06
"Tspan7",0.586671544833084,0.171958479064158,0.131514157989803,1.47260366441473e-07,2.98972790473037e-06
"Ckb",0.76739896951399,-0.0529250914865473,0.0682704610796266,1.82025488510089e-07,3.5651399868435e-06
"Lingo2",4.68068637119204,-0.155326609371986,0.0529162712961196,1.83770102414613e-07,3.5651399868435e-06
"Stxbp5l",0.562358838426616,-0.477248400662162,0.106824921241241,2.50738565224443e-07,4.75858190088997e-06
"Gpm6a",0.719707892553635,0.108623660715798,0.104354183376873,3.10494608438314e-07,5.76727219503507e-06
"Psap",0.719105358815135,0.120330781647337,0.108337591414883,3.32234494192299e-07,6.04251486312244e-06
"Rpl41",0.67865745983065,-0.0149057825432739,0.0541054550021291,3.77509541222017e-07,6.72583325483307e-06
"Slc22a17",0.659745945189269,0.222491010218611,0.100418928495984,4.38678940698514e-07,7.65933430459605e-06
"Opcml",4.62648502536757,-0.214266576915083,0.0508662708383807,5.1765974580106e-07,8.86111682518285e-06
"Mt3",0.874268168760261,-0.00896653293863009,0.0515874379115321,5.94418024890063e-07,9.97936414863509e-06
"Snhg11",10.3868202089682,0.0481925195445687,0.0286174300113527,6.21779335534832e-07,1.02417615079605e-05
"Itm2c",0.457016215279075,0.372217185558405,0.118850178957718,6.58984039780858e-07,1.06535753097905e-05
"Dpp10",0.943828563452815,-0.353464823147859,0.0938741954842541,6.75847395546398e-07,1.0727541387491e-05
"Gabrb1",1.0437327915724,-0.167816454857975,0.0973466641442811,7.00688175553945e-07,1.0923228165332e-05
"Kalrn",1.5780673318101,-0.0593922116937152,0.060159547474576,7.82334609884021e-07,1.19820721829605e-05
"Dlg2",4.29913664253001,-0.172917730335641,0.0554912004349535,8.98466770022756e-07,1.35234739694804e-05
